oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo,tipo_vivi
condominio horizontal en renta en lomas de montecristo,2.0,2.0,112.0,25.627246,-100.30708,2025-05-05 17:25:47.268265,lamudi,33500.0,299.10714285714283,19039,19,039,Monterrey,renta,horizontal
condominio horizontal en renta en monterrey,2.0,2.0,140.0,25.686358,-100.376108,2025-05-05 17:25:47.268265,lamudi,35000.0,250.0,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey centro,2.0,2.0,68.0,25.6838707,-100.3133267,2025-05-05 17:25:47.268265,lamudi,28450.0,418.38235294117646,19039,19,039,Monterrey,renta,vertical
casa en renta en vista hermosa,4.0,4.0,750.0,25.692484,-100.356957,2025-05-05 17:25:47.268265,lamudi,70000.0,93.33333333333331,19039,19,039,Monterrey,renta,horizontal
casa en renta en cumbres,3.0,3.0,260.0,25.7391351,-100.4048924,2025-05-05 17:25:47.268265,lamudi,35000.0,134.6153846153846,19039,19,039,Monterrey,renta,horizontal
departamento en renta en regina,2.0,2.0,62.0,25.707767,-100.313597,2025-05-05 17:25:47.268265,lamudi,21000.0,338.7096774193548,19039,19,039,Monterrey,renta,vertical
departamento en renta en colinas del valle,2.0,2.0,89.0,25.6773984,-100.3940095,2025-05-05 17:25:47.268265,lamudi,28500.0,320.2247191011236,19039,19,039,Monterrey,renta,vertical
departamento en renta en obispado,3.0,2.0,155.0,25.6752416,-100.3481262,2025-05-05 17:25:47.268265,lamudi,35000.0,225.80645161290323,19039,19,039,Monterrey,renta,vertical
departamento en renta en residencial dinastia,2.0,2.0,120.0,25.7006772,-100.3751969,2025-05-05 17:25:47.268265,lamudi,28000.0,233.33333333333331,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,65.0,25.6849539,-100.3342939,2025-05-05 17:25:47.268265,lamudi,18000.0,276.9230769230769,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,60.0,25.6869502,-100.3376597,2025-05-05 17:25:47.268265,lamudi,20500.0,341.6666666666667,19039,19,039,Monterrey,renta,vertical
casa en renta en cima del bosque,3.0,4.0,145.0,25.73500405,-100.41210473,2025-05-05 17:25:47.268265,lamudi,28500.0,196.55172413793105,19039,19,039,Monterrey,renta,horizontal
loft en renta en country san juanito,1.0,1.0,35.0,25.6420021,-100.2747354,2025-05-05 17:25:47.268265,lamudi,9000.0,257.1428571428572,19039,19,039,Monterrey,renta,vertical
departamento en renta en cumbres del valle,2.0,2.0,84.0,25.6728081,-100.3894697,2025-05-05 17:25:47.268265,lamudi,32900.0,391.6666666666667,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,1.0,75.0,25.6678059,-100.3200034,2025-05-05 17:25:47.268265,lamudi,23000.0,306.6666666666667,19039,19,039,Monterrey,renta,vertical
